title,authors,year,doi,primary_category,secondary_categories,evidence_level,tags,clinical_significance,key_findings,sample_size,mortality_count,qtc_data,herg_data,electrolyte_data,contraindications,dosing_range,route,source_pdf,journal,aliases,source_url,pmid,pmcid,open_access,publisher,body_format,issn,filepath
A Preliminary Investigation of Ibogaine: Case Reports and Recommendations for Further Study,"Sheppard, Simon G.",1994,10.1016/0740-5472(94)90049-3,BLUE,WHITE; PURPLE,case-series,topic/opioid; topic/adverse-event; topic/harm-reduction; method/case-series,landmark,First published case series (N=7): ibogaine 700–1800 mg (11.7–25 mg/kg) abolished opiate withdrawal in all subjects; 3/7 remained drug-free ≥14 weeks; higher doses correlated with better outcomes.,7,,false,false,false,,,,1994/Sheppard1994_Preliminary_Investigation_Ibogaine.pdf,Journal of Substance Abuse Treatment,Sheppard 1994; First ibogaine case series; Amsterdam ibogaine case reports; Hirez ibogaine study,,7966509,,false,Elsevier,hybrid,,1994/Sheppard1994_Preliminary_Investigation_Ibogaine.md
Ibogaine and Its Congeners Are σ Receptor-Selective Ligands with Moderate Affinity,"Bowen, Wayne D.; Vilner, Bertold J.; Williams, Wanda; Bertha, Craig M.; Kuehne, Martin E.; Jacobson, Arthur E.",1995,10.1016/0014-2999(95)00247-I,ORANGE,,in-vitro,topic/receptor; topic/analogues; mechanism/sigma-receptor; method/in-vitro,moderate,"Ibogaine binds σ₂ receptors (Kᵢ = 201 nM) with 43-fold selectivity over σ₁ — highest affinity target known at time. O-desmethylibogaine loses σ₂ affinity (Kᵢ = 5226 nM), suggesting demethylation terminates σ-mediated effects.",,,false,false,false,,,,1995/Bowen1995_Sigma_Receptor_Selectivity.pdf,European Journal of Pharmacology,Bowen 1995; Ibogaine Sigma Receptor Binding,,7556375,,false,Elsevier,vault-analytical,,1995/Bowen1995_Sigma_Receptor_Selectivity.md
"Effects of ibogaine on responding maintained by food, cocaine and heroin reinforcement in rats","Dworkin, Steven I.; Gleeson, Suzanne; Meloni, Domenico; Koves, Timothy R.; Martin, Thomas J.",1995,,ORANGE,,preclinical,topic/opioid; topic/stimulant; topic/mechanism; topic/motor; method/preclinical,moderate,"Ibogaine (80 mg/kg IP) suppressed food, cocaine, and heroin self-administration in rats; heroin responding most sensitive. Effects not drug-specific — motor impairment may contribute.",,,false,false,false,,"40 and 80 mg/kg IP (ibogaine in water, 10 mg/ml)",intraperitoneal,1995/Dworkin1995_Ibogaine_Food_Cocaine_Heroin_Rats.pdf,Psychopharmacology,Dworkin 1995; Ibogaine Food Cocaine Heroin Self-Administration Rats,,,,unknown,,vault-analytical,,1995/Dworkin1995_Ibogaine_Food_Cocaine_Heroin_Rats.md
Identification and Quantitation of Ibogaine and an o-Demethylated Metabolite in Brain and Biological Fluids Using Gas Chromatography-Mass Spectrometry,"Hearn, William L.; Pablo, John; Hime, George W.; Mash, Deborah C.",1995,,ORANGE,,in-vitro,topic/pharmacokinetics; topic/noribogaine; topic/mechanism; method/in-vitro,moderate,First validated GC-MS method for ibogaine and noribogaine (12-OH-ibogamine) in biological fluids/brain. LOD 5ng/mL. Identified noribogaine as major metabolite. Foundation for pharmacokinetic research.,,,false,false,false,,,,1995/Hearn1995_Noribogaine_Metabolite.pdf,Journal of Analytical Toxicology,Hearn 1995; Noribogaine GC-MS Method,,,,unknown,,vault-analytical,,1995/Hearn1995_Noribogaine_Metabolite.md
Identification of a Primary Metabolite of Ibogaine That Targets Serotonin Transporters and Elevates Serotonin,"Mash, Deborah C.; Staley, Julie K.; Baumann, Michael H.; Rothman, Richard B.; Hearn, W. Lee",1995,10.1016/0024-3205(95)00273-9,ORANGE,BLUE,preclinical,topic/noribogaine; topic/serotonin; topic/pharmacokinetics; method/in-vitro; method/preclinical,landmark,First identification of noribogaine (12-hydroxyibogamine) as ibogaine's primary metabolite; Kᵢ 40.7 nM at SERT (10-fold > ibogaine); 3-fold 5-HT elevation in nucleus accumbens; long half-life with 508–706 ng/ml at 24h post-dose,3,,false,false,false,,,,1995/Mash1995_Noribogaine_SERT_Identification.pdf,Life Sciences,Mash 1995; Noribogaine Discovery; 12-hydroxyibogamine identification; Mash1995_Noribogaine_Serotonin,,7596224,,false,Elsevier,vault-analytical,,1995/Mash1995_Noribogaine_SERT_Identification.md
"Radioligand-binding study of noribogaine, a likely metabolite of ibogaine","Pearl, Sandra M.; Herrick-Davis, Katherine; Teitler, Milton; Glick, Stanley D.",1995,10.1016/0006-8993(95)00123-8,ORANGE,,in-vitro,topic/noribogaine; topic/receptor; topic/opioid; method/in-vitro,moderate,"Noribogaine shows 3-4× higher affinity than ibogaine at κ (Kᵢ=0.96 μM vs 3.77 μM) and μ (Kᵢ=2.66 μM vs 11.04 μM) opioid receptors, and unlike ibogaine binds δ receptors (Kᵢ=24.72 μM)",,,false,false,false,,,,1995/Pearl1995_Noribogaine_Opioid_Binding.pdf,Brain Research,Pearl 1995; Noribogaine opioid receptor binding,,7796150,,false,Elsevier,vault-analytical,,1995/Pearl1995_Noribogaine_Opioid_Binding.md
100 Years of Ibogaine: Neurochemical and Pharmacological Actions of a Putative Anti-addictive Drug,"Popik, Piotr; Layer, Richard T.; Skolnick, Phil",1995,,ORANGE,,review,topic/mechanism; method/review; topic/history,high,"LANDMARK REVIEW: Comprehensive 100-year overview of ibogaine pharmacology from NIH team. Covers NMDA antagonism, sigma receptor binding, dopamine modulation. Essential reference for mechanism understanding.",,,false,false,false,,,,1995/Popik1995_100Years_Ibogaine_Review.pdf,Pharmacological Reviews,Popik 1995; Popik; 100 Years of Ibogaine; Popik1995_100Years_Ibogaine_COMPLETE; Popik1995_100_Years_Ibogaine,,,,unknown,,academic-retained,,1995/Popik1995_100Years_Ibogaine_Review.md
Attenuation of Alcohol Intake by Ibogaine in Three Strains of Alcohol-Preferring Rats,"Rezvani, Amir H.; Overstreet, David H.; Lee, Yue-Wei",1995,10.1016/0091-3057(95)00152-m,BLUE,ORANGE,preclinical,topic/alcohol; topic/efficacy; method/preclinical; topic/noribogaine; topic/mechanism,moderate,"Ibogaine IP/IG (not SC) dose-dependently reduced alcohol intake in P, FH, AA rats; 60 mg/kg IP: 51–65% reduction; 5-day IG dosing showed no tolerance; no effect on blood alcohol; suggests hepatic metabolic activation required",,,false,false,false,,,,1995/Rezvani1995_Ibogaine_Alcohol_Preferring_Rats.pdf,Pharmacology Biochemistry and Behavior,Rezvani 1995; Ibogaine Alcohol Preferring Rats,,8545483,,false,Elsevier,vault-analytical,,1995/Rezvani1995_Ibogaine_Alcohol_Preferring_Rats.md
Receptor binding profile suggests multiple mechanisms of action are responsible for ibogaine's putative anti-addictive activity,"Sweetnam, P. M.; Lancaster, J.; Snowman, Adele; Collins, J. L.; Perschke, S.; Bauer, C.; Ferkany, J.",1995,10.1007/BF02245936,ORANGE,,in-vitro,topic/receptor; method/in-vitro; topic/dopamine; topic/opioid; mechanism/nmda-antagonism,moderate,"Ibogaine binds 14 receptors at 1–100 μM: dopamine uptake IC₅₀ 3.5 μM, NMDA/MK-801 5.6 μM, 5-HT₃ 3.9 μM, 5-HT₂ 4.8 μM, κ-opioid 16 μM; no nanomolar affinity at any site.",,,false,false,false,,,,1995/Sweetnam1995_Receptor_Binding_Profile.pdf,Psychopharmacology,Sweetnam 1995; Ibogaine Receptor Binding Profile,,7568622,,false,Springer Nature,hybrid,,1995/Sweetnam1995_Receptor_Binding_Profile.md
Neurochemical and Behavioural Interactions Between Ibogaine and Nicotine in the Rat,"Benwell, Maureen E.M.; Holtom, Pamela E.; Moran, Robert J.; Balfour, David J.K.",1996,,ORANGE,BLUE,preclinical,topic/dopamine; topic/mechanism; mechanism/nicotinic-receptor; mechanism/dopamine-modulation; method/preclinical,moderate,Ibogaine (40 mg/kg IP) attenuated nicotine-induced NAc dopamine overflow 22h post-treatment but not locomotion; produced long-lasting anxiogenesis and mPFC neurochemical changes persisting ≥7 days,,,false,false,false,,"40 mg/kg IP (ibogaine in 25% ethanol/sterile water, 1.0 ml/kg)",intraperitoneal,1996/Benwell1996_Ibogaine_Nicotine_Dopamine_Behaviour.pdf,British Journal of Pharmacology,Benwell 1996; Ibogaine nicotine dopamine microdialysis,,,,unknown,,hybrid,,1996/Benwell1996_Ibogaine_Nicotine_Dopamine_Behaviour.md
Ibogaine Block of the NMDA Receptor: In Vitro and In Vivo Studies,"Chen, Kang; Kokate, Tushar G.; Donevan, Sean D.; Carroll, F. Ivy; Rogawski, Michael A.",1996,10.1016/0028-3908(96)84107-4,ORANGE,RED,in-vitro,topic/receptor; topic/mechanism; mechanism/nmda-antagonism; method/in-vitro; method/preclinical,moderate,"Ibogaine is an open channel NMDA receptor antagonist (IC₅₀ 3.1 µM, -60 mV). Block is use- and voltage-dependent, occluded by Mg²⁺. In vivo MES protection ED₅₀ 31 mg/kg i.p.; LD₅₀ 213 mg/kg in mice.",,,false,false,false,,,,1996/Chen1996_Ibogaine_NMDA_Receptor_Block.pdf,Neuropharmacology,Chen 1996; Ibogaine NMDA open channel block,,8793904,,false,Elsevier,vault-analytical,,1996/Chen1996_Ibogaine_NMDA_Receptor_Block.md
"18-Methoxycoronaridine, a non-toxic iboga alkaloid congener: effects on morphine and cocaine self-administration and on mesolimbic dopamine release in rats","Glick, Stanley D.; Maisonneuve, Isabelle M.; Szumlinski, Karen K.",1996,,ORANGE,RED,preclinical,topic/18-mc; topic/analogues; method/preclinical; topic/dopamine; topic/harm-reduction,high,BREAKTHROUGH: First demonstration that 18-MC provides equivalent anti-addictive efficacy to ibogaine (decreases morphine/cocaine self-admin) without tremors or cerebellar toxicity. Safer ibogaine analogue.,,,false,false,false,,"40–100 mg/kg (rat, i.p.)",intraperitoneal,1996/Glick1996_18MC_NonToxic.pdf,Brain Research,Glick 1996; Glick; 18-MC 1996,,,,unknown,,academic-retained,,1996/Glick1996_18MC_NonToxic.md
Tissue Distribution of Ibogaine After Intraperitoneal and Subcutaneous Administration,"Hough, Lindsay B.; Pearl, Sandra M.; Glick, Stanley D.",1996,,ORANGE,,preclinical,topic/pharmacokinetics; topic/noribogaine; topic/mechanism; method/preclinical,moderate,Ibogaine accumulates 100-fold in fat vs plasma after 40 mg/kg in rats; sc route yields higher levels than ip (first-pass effect); adipose reservoir may explain prolonged duration of action,,,false,false,false,,,,1996/Hough1996_.pdf,Life Sciences,Hough 1996; Ibogaine Tissue Distribution Rats,,,,unknown,,vault-analytical,,1996/Hough1996_Tissue_Distribution.md
Structurally modified ibogaine analogs exhibit differing affinities for NMDA receptors,"Layer, Richard T.; Skolnick, Phil; Bertha, Craig M.; Bandarage, Upul K.; Kuehne, Martin E.; Popik, Piotr",1996,10.1016/0014-2999(96)00304-4,ORANGE,BLUE,preclinical,mechanism/nmda-antagonism; topic/analogues; mechanism/kappa-opioid; method/in-vitro,low,"Ibogaine most potent NMDA antagonist in series (Kᵢ = 1.1 μM); O-desmethylibogaine ~5× weaker. Only ibogaine attenuated naloxone-precipitated withdrawal in mice, supporting NMDA-mediated anti-addictive mechanism.",,,false,false,false,,"40–80 mg/kg ibogaine (mouse, i.p.)",intraperitoneal,1996/Layer1996_IbogaineAnalogs_NMDA.pdf,European Journal of Pharmacology,Layer 1996; Ibogaine Analogs NMDA,,8874134,,false,Elsevier,hybrid,,1996/Layer1996_IbogaineAnalogs_NMDA.md
"Ibogaine, Trauma, and Abreaction: The Treatment of Chemical Dependence","Lotsof, Howard S.; Smith, C. A.; Bastiaans, J.",1996,,GREEN,PURPLE,case-series,topic/phenomenology; topic/tbi; topic/psychiatric; topic/protocol,high,FOUNDATIONAL CLINICAL: First documentation of ibogaine-induced abreaction and trauma processing. Ibogaine eliminates withdrawal while enabling non-emotional trauma access - key psychological mechanism for addiction treatment.,3,,false,false,false,,10 mg/kg (PK study) and 20 mg/kg (therapeutic) oral — Case 2 only; doses not specified for Cases 1 and 3,oral,1996/Lotsof1996_Trauma_Abreaction.pdf,,Lotsof 1996; Lotsof; Lotsof Trauma 1996,,,,unknown,,academic-retained,,1996/Lotsof1996_Trauma_Abreaction.md
Ibogaine neurotoxicity: a re-evaluation,"Molinari, H.H.; Maisonneuve, I.M.; Glick, S.D.",1996,10.1016/0006-8993(96)00739-1,ORANGE,,preclinical,topic/toxicity; topic/motor; method/preclinical,moderate,"40 mg/kg ibogaine (anti-addictive dose) produced no cerebellar Purkinje cell degeneration in rats; only high doses (≥100 mg/kg) caused degeneration, confined to lobules 5-7 and simplex. Anti-addictive and neurotoxic properties are dissociable.",,,false,false,false,,,,1996/Molinari1996_Ibogaine_Neurotoxicity_Reevaluation.pdf,Brain Research,Molinari 1996; Ibogaine neurotoxicity re-evaluation,,8930373,,false,Elsevier,vault-analytical,,1996/Molinari1996_Ibogaine_Neurotoxicity_Reevaluation.md
Acute and Chronic Administration of Ibogaine to the Rat Results in Astrogliosis That Is Not Confined to the Cerebellar Vermis,"O'Callaghan, James P.; Rogers, Tina S.; Rodman, Larry E.; Page, John G.",1996,10.1111/j.1749-6632.1996.tb17443.x,ORANGE,RED,preclinical,topic/toxicity; topic/adverse-event; method/preclinical,high,"Ibogaine causes dose-, sex-, region-dependent astrogliosis in rats. Chronic oral dosing: up to 215% GFAP increases in female hippocampus, brain stem, striatum; males unaffected. NF-68/beta-tubulin >2-fold in females. Gliosis beyond cerebellar vermis.",,,false,false,false,,,,1996/OCallaghan1996_Astrogliosis_Neurotoxicity.pdf,Annals of the New York Academy of Sciences,O'Callaghan 1996; Ibogaine astrogliosis GFAP,,8959035,,false,Wiley,vault-analytical,,1996/OCallaghan1996_Astrogliosis_Neurotoxicity.md
Neuropharmacological characterization of local ibogaine effects on dopamine release,"Reid, M. S.; Hsu, K. Jr.; Souza, K. H.; Broderick, P. A.; Berger, S. P.",1996,,ORANGE,,preclinical,topic/dopamine; mechanism/dopamine-modulation; method/preclinical; mechanism/kappa-opioid,moderate,"BIPHASIC MECHANISM: Local ibogaine shows dose-dependent dual effects - low doses (10⁻⁶-10⁻⁴M) decrease dopamine via kappa receptors, high doses (10⁻³M) increase dopamine via DAT interaction.",,,false,false,false,,"10⁻⁶M-10⁻³M (local perfusion, rat)",,1996/Reid1996_Local_Ibogaine_Dopamine.pdf,Journal of Neural Transmission,Reid 1996; Reid,,,,unknown,,academic-retained,,1996/Reid1996_Local_Ibogaine_Dopamine.md
"Ibogaine Produces Neurodegeneration in Rat, but Not Mouse, Cerebellum: Neurohistological Biomarkers of Purkinje Cell Loss","Scallet, A. C.; Ye, X.; Rountree, R.; Nony, P.; Ali, S. F.",1996,,ORANGE,,preclinical,topic/toxicity; method/preclinical; topic/motor,moderate,"Ibogaine 100 mg/kg i.p. causes parasagittal Purkinje cell degeneration in rat cerebellum (silver stain, calbindin loss, GFAP astrocytosis) but no neurotoxicity in mice at same dose. H&E staining insufficient—risks false negatives.",,,false,false,false,,,,1996/Scallet1996_Ibogaine_Neurodegeneration_Rat_Mouse_Cerebellum.pdf,Annals of the New York Academy of Sciences,Scallet 1996; Ibogaine Purkinje Cell Neurodegeneration,,,,unknown,,vault-analytical,,1996/Scallet1996_Ibogaine_Neurodegeneration_Rat_Mouse_Cerebellum.md
Pharmacological screen for activities of 12-hydroxyibogamine: a primary metabolite of the indole alkaloid ibogaine,"Staley, Julie K.; Ouyang, Qinjie; Pablo, John; Hearn, Wayne L.; Flynn, Dwight D.; Rothman, Richard B.; Rice, Kenner C.; Mash, Deborah C.",1996,10.1007/BF02805969,ORANGE,BLUE,in-vitro,topic/noribogaine; topic/receptor; topic/pharmacokinetics; mechanism/sert-inhibition; method/in-vitro,high,Noribogaine 10× more potent than ibogaine at SERT (IC₅₀ 40.7 nM vs 590 nM). Both ~equipotent at DAT (~3-4 μM). Brain levels 1-17 μM post-oral dosing; metabolite rises 10-fold over 2h as parent declines.,,,false,false,false,,,,1996/Staley1996_Noribogaine_Receptor_Binding.pdf,Psychopharmacology,Staley 1996; Noribogaine Receptor Binding Profile; 12-Hydroxyibogamine Pharmacological Screen,,8880938,,false,Springer Nature,vault-analytical,,1996/Staley1996_Noribogaine_Receptor_Binding.md
